1)               |                      page_to_skb [virtio_net]() {
 1)               |                        __napi_alloc_skb() {
 1)               |                          __alloc_skb() {
 1)   0.903 us    |                            napi_skb_cache_get();
 1)               |                            __kmalloc_node_track_caller() {
 1)   0.560 us    |                              kmalloc_slab();
 1)   0.690 us    |                              should_failslab();
 1)   3.240 us    |                            }
 1)               |                            ksize() {
 1)   0.813 us    |                              kfence_ksize();
 1)   0.793 us    |                              __ksize();
 1)   3.197 us    |                            }
 1)   0.797 us    |                            __build_skb_around();
 1) + 11.446 us   |                          }
 1) + 13.397 us   |                        }
 1)   1.037 us    |                        skb_put();
 1) + 16.980 us   |                      }
 1)   1.403 us    |                      skb_partial_csum_set();
 1)   1.310 us    |                      eth_type_trans();
 1)               |                      napi_gro_receive() {
 1)               |                        dev_gro_receive() {
 1)   0.490 us    |                          __rcu_read_lock();
 1)               |                          inet_gro_receive() {
 1)               |                            tcp4_gro_receive() {
 1)   1.270 us    |                              tcp_gro_receive();
 1)   2.904 us    |                            }
 1)   4.530 us    |                          }
 1)   0.547 us    |                          __rcu_read_unlock();
 1)   9.057 us    |                        }
 1) + 10.890 us   |                      }
 1) + 34.547 us   |                    }
 1)               |                    virtqueue_get_buf_ctx() {
 1)   0.654 us    |                      virtqueue_get_buf_ctx_split();
 1)   1.636 us    |                    }
 1)   0.820 us    |                    virtqueue_get_vring_size();
 1)   0.720 us    |                    virtqueue_enable_cb_prepare();
 1)               |                    napi_complete_done() {
 1)               |                      netif_receive_skb_list_internal() {
 1)   1.667 us    |                        skb_defer_rx_timestamp();
 1)   0.443 us    |                        __rcu_read_lock();
 1)               |                        __netif_receive_skb_list_core() {
 1)   1.693 us    |                          __netif_receive_skb_core.constprop.0();
 1)               |                          ip_list_rcv() {
 1)   1.333 us    |                            ip_rcv_core();
 1)               |                            ip_sublist_rcv() {
 1)   0.550 us    |                              __rcu_read_lock();
 1)               |                              nf_hook_slow_list() {
 1)               |                                nf_hook_slow() {
 1)   1.484 us    |                                  ipv4_conntrack_defrag [nf_defrag_ipv4]();
 1)               |                                  ipv4_conntrack_in [nf_conntrack]() {
 1)               |                                    nf_conntrack_in [nf_conntrack]() {
 1)   1.750 us    |                                      get_l4proto [nf_conntrack]();
 1)               |                                      nf_ct_get_tuple [nf_conntrack]() {
 1)   1.540 us    |                                        nf_ct_get_tuple_ports.constprop.0 [nf_conntrack]();
 1)   3.660 us    |                                      }
 1)   1.750 us    |                                      hash_conntrack_raw [nf_conntrack]();
 1)               |                                      __nf_conntrack_find_get [nf_conntrack]() {
 1)   0.730 us    |                                        __rcu_read_lock();
 1)   0.663 us    |                                        __rcu_read_unlock();
 1)   4.380 us    |                                      }
 1)               |                                      nf_conntrack_tcp_packet [nf_conntrack]() {
 1)               |                                        nf_checksum() {
 1)   1.473 us    |                                          nf_ip_checksum();
 1)   3.067 us    |                                        }
 1)               |                                        _raw_spin_lock_bh() {
 1)   0.460 us    |                                          preempt_count_add();
 1)   2.147 us    |                                        }
 1)   1.293 us    |                                        nf_ct_seq_offset [nf_conntrack]();
 1)               |                                        _raw_spin_unlock_bh() {
 1)               |                                          __local_bh_enable_ip() {
 1)   0.563 us    |                                            preempt_count_sub();
 1)   1.547 us    |                                          }
 1)   3.107 us    |                                        }
 1) + 13.770 us   |                                      }
 1) + 28.970 us   |                                    }
 1) + 31.660 us   |                                  }
 1)               |                                  nft_do_chain_inet [nf_tables]() {
 1)               |                                    nft_do_chain [nf_tables]() {
 1)   1.417 us    |                                      nft_immediate_eval [nf_tables]();
 1)   1.910 us    |                                      nft_meta_get_eval [nf_tables]();
 1)   1.470 us    |                                      nft_cmp_eval [nf_tables]();
